accession,filename,form,event_id,entity_name,url,local_path,status,error,bytes,chars,words,tokens_whitespace,pages_approx_500w,content_sha1,n_html_tables,table_word_share,narrative_word_share,metric_source
0001193125-20-000604,d858866d8k.htm,8-K,001-35471,"SAExploration Holdings, Inc.",https://www.sec.gov/Archives/edgar/data/1514732/000119312520000604/d858866d8k.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-000604__d858866d8k.htm,ok,,22814,6714,1008,1008,2.02,790666d0388167b68aec172b4bb19b73b3241778,10,0.4663,0.5337,observed_sample
0001213900-20-000054,f8k010220_hlacquisitions.htm,8-K,001-38563,HL Acquisitions Corp.,https://www.sec.gov/Archives/edgar/data/1736874/000121390020000054/f8k010220_hlacquisitions.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001213900-20-000054__f8k010220_hlacquisitions.htm,ok,,28707,6748,1061,1061,2.12,df9cd01742de892dcbac68952ae5b65bcc4b5dcd,14,0.2394,0.7606,observed_sample
0000914121-20-000026,bn54544166-424b2.htm,424B2,333-228614,BANK OF NOVA SCOTIA,https://www.sec.gov/Archives/edgar/data/9631/000091412120000026/bn54544166-424b2.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0000914121-20-000026__bn54544166-424b2.htm,ok,,313241,128316,20524,20524,41.05,6604cac5d8644b50679e82f07d471f185e584791,38,0.1594,0.8406,observed_sample
0001564590-20-000016,gs-424b2.htm,424B2,333-219206,GOLDMAN SACHS GROUP INC,https://www.sec.gov/Archives/edgar/data/886982/000156459020000016/gs-424b2.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001564590-20-000016__gs-424b2.htm,ok,,509439,166480,27571,27571,55.14,98fec0fe699f731c389db752bec6116a6492b27b,100,0.1036,0.8964,observed_sample
0001104659-20-000348,a20-1110_1425.htm,425,001-35245,SRC Energy Inc.,https://www.sec.gov/Archives/edgar/data/1413507/000110465920000348/a20-1110_1425.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001104659-20-000348__a20-1110_1425.htm,ok,,19998,10273,1626,1626,3.25,07d432392a170ebee691943daf99ac1cf099bc39,1,0.0025,0.9975,observed_sample
0001213900-19-027320,prem14a1219_sorlautoparts.htm,PREM14A,000-11991,SORL Auto Parts Inc,https://www.sec.gov/Archives/edgar/data/714284/000121390019027320/prem14a1219_sorlautoparts.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001213900-19-027320__prem14a1219_sorlautoparts.htm,ok,,1838295,697730,105041,105041,210.08,69e6c2ce454c45f58409ac27337c03581095bd79,394,0.255,0.745,observed_sample
0001193125-20-000591,d832453d425.htm,425,000-55772,"Steadfast Apartment REIT III, Inc.",https://www.sec.gov/Archives/edgar/data/1651286/000119312520000591/d832453d425.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-000591__d832453d425.htm,ok,,23235,10399,1637,1637,3.27,df2ae74453e97f2a48f118c1d6ec51b0db68f4ee,15,0.2462,0.7538,observed_sample
0001140361-20-000048,form424b2.htm,424B2,333-231751,TORONTO DOMINION BANK,https://www.sec.gov/Archives/edgar/data/947263/000114036120000048/form424b2.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001140361-20-000048__form424b2.htm,ok,,248516,114346,17903,17903,35.81,74ed8c54bf4ad15483868b5f53fe0e1f701189a0,60,0.1169,0.8831,observed_sample
0001193125-20-000590,d862325d425.htm,425,000-54674,"Steadfast Income REIT, Inc.",https://www.sec.gov/Archives/edgar/data/1468010/000119312520000590/d862325d425.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-000590__d862325d425.htm,ok,,21512,8915,1346,1346,2.69,06daea2b42124848493fac35a83f06214e2a85ac,0,0.0,1.0,observed_sample
0001140361-20-000046,form424b2.htm,424B2,333-231751,TORONTO DOMINION BANK,https://www.sec.gov/Archives/edgar/data/947263/000114036120000046/form424b2.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001140361-20-000046__form424b2.htm,ok,,219860,112773,17656,17656,35.31,7f5a85d1252bd748c67f053f585f7c7f9d86c748,26,0.1257,0.8743,observed_sample
0001193125-20-000570,d860914d425.htm,425,000-55772,"Steadfast Apartment REIT III, Inc.",https://www.sec.gov/Archives/edgar/data/1651286/000119312520000570/d860914d425.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-000570__d860914d425.htm,ok,,22859,10391,1634,1634,3.27,ba4b0224765a73b162505e4ec1dd1d0e8d34ea66,15,0.2466,0.7534,observed_sample
0001193125-20-000113,d812272ddefm14a.htm,DEFM14A,001-37629,INSTRUCTURE INC,https://www.sec.gov/Archives/edgar/data/1355754/000119312520000113/d812272ddefm14a.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-000113__d812272ddefm14a.htm,ok,,1604086,829384,130941,130941,261.88,93ab2225e2297bd80b3a9b229c2f6cb819b6b0f3,418,0.1433,0.8567,observed_sample
0001193125-20-000576,d860778d425.htm,425,000-54674,"Steadfast Income REIT, Inc.",https://www.sec.gov/Archives/edgar/data/1468010/000119312520000576/d860778d425.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-000576__d860778d425.htm,ok,,23066,10370,1631,1631,3.26,a3a2d9fc810a32643c97bee0d2959fa7036aae9b,15,0.2459,0.7541,observed_sample
0001140361-20-000057,nc10007326x1_sctota.htm,SC TO-T/A,005-48819,ARQULE INC,https://www.sec.gov/Archives/edgar/data/1019695/000114036120000057/nc10007326x1_sctota.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001140361-20-000057__nc10007326x1_sctota.htm,ok,,23358,8088,1262,1262,2.52,c1e03c946e786963ce20288202677c3d31e64048,5,0.2235,0.7765,observed_sample
0000914121-20-000018,bn54549274-424b2.htm,424B2,333-228614,BANK OF NOVA SCOTIA,https://www.sec.gov/Archives/edgar/data/9631/000091412120000018/bn54549274-424b2.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0000914121-20-000018__bn54549274-424b2.htm,ok,,740751,238516,37203,37203,74.41,dc18b085a10480f82017f248870e5e488de478cd,101,0.1647,0.8353,observed_sample
0001213900-20-000002,sc13e31219_sorlautoparts.htm,SC 13E3,005-35858,SORL Auto Parts Inc,https://www.sec.gov/Archives/edgar/data/714284/000121390020000002/sc13e31219_sorlautoparts.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001213900-20-000002__sc13e31219_sorlautoparts.htm,ok,,120973,29225,4431,4431,8.86,c3540bed1b39c6cc60a2638fc3ce3a217556b4e4,15,0.2819,0.7181,observed_sample
0001104659-20-000111,tm1927303-1_8k.htm,8-K,814-01022,Capitala Finance Corp.,https://www.sec.gov/Archives/edgar/data/1571329/000110465920000111/tm1927303-1_8k.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001104659-20-000111__tm1927303-1_8k.htm,ok,,18383,3208,492,492,0.98,0c766cf3690101584ef194f7f881d8adddd17660,10,0.2276,0.7724,observed_sample
0001193125-20-000096,d862466dsctota.htm,SC TO-T/A,005-86024,Wright Medical Group N.V.,https://www.sec.gov/Archives/edgar/data/1492658/000119312520000096/d862466dsctota.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-000096__d862466dsctota.htm,ok,,34527,9781,1527,1527,3.05,04926c10967d115491ac783b2a9206ff38880aab,16,0.4912,0.5088,observed_sample
0001104659-20-000286,tv535096-424b5.htm,424B5,333-227148,OMEGA HEALTHCARE INVESTORS INC,https://www.sec.gov/Archives/edgar/data/888491/000110465920000286/tv535096-424b5.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001104659-20-000286__tv535096-424b5.htm,ok,,527757,250689,41508,41508,83.02,750facd1a79e548756776d6e19a8dea986ed2f92,5,0.0156,0.9844,observed_sample
0001193125-20-000651,d863139d8k.htm,8-K,001-14888,"INOVIO PHARMACEUTICALS, INC.",https://www.sec.gov/Archives/edgar/data/1055726/000119312520000651/d863139d8k.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-000651__d863139d8k.htm,ok,,30404,11098,1789,1789,3.58,d86ad7d69bd5071a2e1e39d4e878e2b201c1f8c8,17,0.3371,0.6629,observed_sample
0001477932-20-000045,mmex_8k.htm,8-K,000-55831,MMEX Resources Corp,https://www.sec.gov/Archives/edgar/data/1440799/000147793220000045/mmex_8k.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001477932-20-000045__mmex_8k.htm,ok,,15319,4197,650,650,1.3,dcc96483a955abd5aa70464d54468e51af8aa2d8,10,0.1308,0.8692,observed_sample
0001104659-20-000535,tm1924637-2_defm14a.htm,DEFM14A,001-37676,"PB Bancorp, Inc.",https://www.sec.gov/Archives/edgar/data/1652106/000110465920000535/tm1924637-2_defm14a.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001104659-20-000535__tm1924637-2_defm14a.htm,ok,,1510368,534120,85148,85148,170.3,526549051ce2d60c0f5e4e4c375236d5e75e2b93,306,0.142,0.858,observed_sample
0001104659-20-000548,a19-24123_2sc13e3a.htm,SC 13E3/A,005-49527,"CRAFT BREW ALLIANCE, INC.",https://www.sec.gov/Archives/edgar/data/892222/000110465920000548/a19-24123_2sc13e3a.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001104659-20-000548__a19-24123_2sc13e3a.htm,ok,,175329,36744,5441,5441,10.88,997a84b1da39eb6e755aa5b2328e5e109213d6c3,5,0.0274,0.9726,observed_sample
0001193125-20-000960,d843250ddefm14a.htm,DEFM14A,001-10212,ANIXTER INTERNATIONAL INC,https://www.sec.gov/Archives/edgar/data/52795/000119312520000960/d843250ddefm14a.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-000960__d843250ddefm14a.htm,ok,,1954776,1020988,162673,162673,325.35,7c3dd3a3448cf5e16debc4c0e89a4f1e4eedbe41,550,0.1802,0.8198,observed_sample
0001193125-20-001456,d861332d424b5.htm,424B5,333-223526,MyoKardia Inc,https://www.sec.gov/Archives/edgar/data/1552451/000119312520001456/d861332d424b5.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-001456__d861332d424b5.htm,ok,,338787,146339,23408,23408,46.82,f7892b5e2f4414c0a76223c10ca7fcbadf1c7920,200,0.2181,0.7819,observed_sample
0001140361-20-000211,nt10007072x3_424b5.htm,424B5,333-235691,MACROGENICS INC,https://www.sec.gov/Archives/edgar/data/1125345/000114036120000211/nt10007072x3_424b5.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001140361-20-000211__nt10007072x3_424b5.htm,ok,,453019,128159,20590,20590,41.18,667bd73893cc33cf062306fb16e62a0e3971cd22,185,0.2228,0.7772,observed_sample
0001140361-20-000216,nc10007326x2_sctota.htm,SC TO-T/A,005-48819,ARQULE INC,https://www.sec.gov/Archives/edgar/data/1019695/000114036120000216/nc10007326x2_sctota.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001140361-20-000216__nc10007326x2_sctota.htm,ok,,29487,7954,1225,1225,2.45,3a7eefe2449fa663d338bb4474e1adba46c2452c,19,0.329,0.671,observed_sample
0001047469-20-000032,a2240382zs-4.htm,S-4,333-235800,"Prologis, L.P.",https://www.sec.gov/Archives/edgar/data/1045610/000104746920000032/a2240382zs-4.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001047469-20-000032__a2240382zs-4.htm,ok,,1928571,622746,100116,100116,200.23,8a15c740af78168f5029d448ceace70c2632b178,73,0.1923,0.8077,observed_sample
0001206774-20-000008,sfb3688591-s4a.htm,S-4/A,333-235465,SOUTHERN FIRST BANCSHARES INC,https://www.sec.gov/Archives/edgar/data/1090009/000120677420000008/sfb3688591-s4a.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001206774-20-000008__sfb3688591-s4a.htm,ok,,329908,178989,28988,28988,57.98,5c022c0c089c53ac892dc51b4db5a56cbc7c6089,66,0.3013,0.6987,observed_sample
0001047469-20-000051,a2240269z424b5.htm,424B5,333-222136,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",https://www.sec.gov/Archives/edgar/data/1035443/000104746920000051/a2240269z424b5.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001047469-20-000051__a2240269z424b5.htm,ok,,473843,262007,42392,42392,84.78,cd91cccf1e041a972d4b579091c9df82b01e5899,12,0.0325,0.9675,observed_sample
0001047469-20-000039,a2240388z424b5.htm,424B5,333-230427,"Laredo Petroleum, Inc.",https://www.sec.gov/Archives/edgar/data/1528129/000104746920000039/a2240388z424b5.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001047469-20-000039__a2240388z424b5.htm,ok,,1508984,836467,133732,133732,267.46,be1426edfad0f491949ef620c4d76f00d5b23c92,22,0.0228,0.9772,observed_sample
0001193125-20-001590,d841743ddefm14a.htm,DEFM14A,001-09494,TIFFANY & CO,https://www.sec.gov/Archives/edgar/data/98246/000119312520001590/d841743ddefm14a.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-001590__d841743ddefm14a.htm,ok,,1703004,890066,142081,142081,284.16,ebc0b5a08dcc340609d249f1d0306fbac5cf6906,444,0.1721,0.8279,observed_sample
0001104659-20-001331,tm201122-1_424b3.htm,424B3,333-186731,Frasers Group plc/ADR,https://www.sec.gov/Archives/edgar/data/1562040/000110465920001331/tm201122-1_424b3.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001104659-20-001331__tm201122-1_424b3.htm,ok,,75590,47198,7629,7629,15.26,b14bd83d16e4abcf9a45c55a5a043f445fec10c3,14,0.0025,0.9975,observed_sample
0001062993-20-000033,forms4a.htm,S-4/A,333-234615,ALKALINE WATER Co INC,https://www.sec.gov/Archives/edgar/data/1532390/000106299320000033/forms4a.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001062993-20-000033__forms4a.htm,ok,,3597525,1423888,224942,224942,449.88,75e71182fe7302175f6d15212fb7f1e6a1e029cc,530,0.2824,0.7176,observed_sample
