hit_id,accession,filename,form,root_forms,form_family,file_type,file_description,file_date,sequence,ciks,primary_cik,display_names,entity_name,tickers,file_nums,primary_file_num,biz_states,inc_states,sics,xsl,is_amendment,is_exhibit,is_primary_form_doc,event_id,doc_ext,format_guess
0001193125-20-011457:d859616dex99a1b.htm,0001193125-20-011457,d859616dex99a1b.htm,SC TO-T,['SC TO-T'],third_party_tender,EX-99.(A)(1)(B),EX-99.(A)(1)(B),2020-01-22,3,"['0001557883', '0000059478']",0001557883,"['Dermira, Inc.  (CIK 0001557883)', 'ELI LILLY & Co  (LLY)  (CIK 0000059478)']","Dermira, Inc.",[],['005-88347'],005-88347,"['CA', 'IN']","['DE', 'IN']","['2834', '2834']",,False,True,False,005-88347,.htm,html
0001193125-20-011114:d874751dsctota.htm,0001193125-20-011114,d874751dsctota.htm,SC TO-T/A,['SC TO-T'],third_party_tender,SC TO-T/A,SC TO-T/A,2020-01-21,1,"['0001492658', '0000310764']",0001492658,"['Wright Medical Group N.V.  (CIK 0001492658)', 'STRYKER CORP  (SYK)  (CIK 0000310764)']",Wright Medical Group N.V.,[],['005-86024'],005-86024,"['P7', 'MI']","['P7', 'MI']","['3842', '3841']",,True,False,True,005-86024,.htm,html
0000921895-20-000063:exa1gtota306165007_01082020.htm,0000921895-20-000063,exa1gtota306165007_01082020.htm,SC TO-T/A,['SC TO-T'],third_party_tender,EX-96.(A)(1)(G),,2020-01-08,4,"['0001785494', '0001794661']",0001785494,"['Woodbridge Liquidation Trust  (WBQNL)  (CIK 0001785494)', 'CONTRARIAN LIQUIDITY OPTION, LLC  (CIK 0001794661)']",Woodbridge Liquidation Trust,['WBQNL'],['005-91241'],005-91241,"['FL', 'CT']","['DE', 'DE']",['6500'],,True,True,False,005-91241,.htm,html
0000921895-20-000037:exa1ftota206165007_010620.htm,0000921895-20-000037,exa1ftota206165007_010620.htm,SC TO-T/A,['SC TO-T'],third_party_tender,EX-99.(A)(1)(F),,2020-01-06,2,"['0001785494', '0001794661']",0001785494,"['Woodbridge Liquidation Trust  (WBQNL)  (CIK 0001785494)', 'CONTRARIAN LIQUIDITY OPTION, LLC  (CIK 0001794661)']",Woodbridge Liquidation Trust,['WBQNL'],['005-91241'],005-91241,"['FL', 'CT']","['DE', 'DE']",['6500'],,True,True,False,005-91241,.htm,html
0001047469-20-000213:a2240423zex-99_d3.htm,0001047469-20-000213,a2240423zex-99_d3.htm,SC TO-T,['SC TO-T'],third_party_tender,EX-99.(D)(3),EX-99.(D)(3),2020-01-13,10,"['0001412270', '0000891103']",0001412270,"['Care.com Inc  (CIK 0001412270)', 'IAC/INTERACTIVECORP  (MTCH)  (CIK 0000891103)']",Care.com Inc,[],['005-88599'],005-88599,"['MA', 'NY']","['MA', 'DE']","['7200', '5990']",,False,True,False,005-88599,.htm,html
0001047469-20-000645:a2240634zex-99_a1b.htm,0001047469-20-000645,a2240634zex-99_a1b.htm,SC TO-T,['SC TO-T'],third_party_tender,EX-99.(A)(1)(B),EX-99.(A)(1)(B),2020-01-31,3,"['0000020629', '0001800420']",0000020629,"['CSS INDUSTRIES INC  (CIK 0000020629)', 'IG DESIGN GROUP AMERICAS, INC.  (CIK 0001800420)']",CSS INDUSTRIES INC,[],['005-18240'],005-18240,"['PA', 'GA']","['DE', 'DE']",['2771'],,False,True,False,005-18240,.htm,html
0001047469-20-000213:a2240423zex-99_d1.htm,0001047469-20-000213,a2240423zex-99_d1.htm,SC TO-T,['SC TO-T'],third_party_tender,EX-99.(D)(1),EX-99.(D)(1),2020-01-13,9,"['0001412270', '0000891103']",0001412270,"['Care.com Inc  (CIK 0001412270)', 'IAC/INTERACTIVECORP  (MTCH)  (CIK 0000891103)']",Care.com Inc,[],['005-88599'],005-88599,"['MA', 'NY']","['MA', 'DE']","['7200', '5990']",,False,True,False,005-88599,.htm,html
0001193125-20-004173:d769985dex99a1b.htm,0001193125-20-004173,d769985dex99a1b.htm,SC TO-T,['SC TO-T'],third_party_tender,EX-99.A.1.B,EX-99.A.1.B,2020-01-09,3,"['0001610092', '0000731766']",0001610092,"['Diplomat Pharmacy, Inc.  (CIK 0001610092)', 'UNITEDHEALTH GROUP INC  (UNH)  (CIK 0000731766)']","Diplomat Pharmacy, Inc.",[],['005-88619'],005-88619,"['MI', 'MN']","['MI', 'DE']","['5912', '6324']",,False,True,False,005-88619,.htm,html
0001193125-20-004173:d769985dex99a1e.htm,0001193125-20-004173,d769985dex99a1e.htm,SC TO-T,['SC TO-T'],third_party_tender,EX-99.A.1.E,EX-99.A.1.E,2020-01-09,6,"['0001610092', '0000731766']",0001610092,"['Diplomat Pharmacy, Inc.  (CIK 0001610092)', 'UNITEDHEALTH GROUP INC  (UNH)  (CIK 0000731766)']","Diplomat Pharmacy, Inc.",[],['005-88619'],005-88619,"['MI', 'MN']","['MI', 'DE']","['5912', '6324']",,False,True,False,005-88619,.htm,html
0001047469-20-000213:a2240423zex-99_a1e.htm,0001047469-20-000213,a2240423zex-99_a1e.htm,SC TO-T,['SC TO-T'],third_party_tender,EX-99.(A)(1)(E),EX-99.(A)(1)(E),2020-01-13,6,"['0001412270', '0000891103']",0001412270,"['Care.com Inc  (CIK 0001412270)', 'IAC/INTERACTIVECORP  (MTCH)  (CIK 0000891103)']",Care.com Inc,[],['005-88599'],005-88599,"['MA', 'NY']","['MA', 'DE']","['7200', '5990']",,False,True,False,005-88599,.htm,html
