accession,filename,form,event_id,entity_name,url,local_path,status,error,bytes,chars,words,tokens_whitespace,pages_approx_500w,content_sha1,n_html_tables,table_word_share,narrative_word_share,metric_source
0001193125-20-000661,d860743dsctoia.htm,SC TO-I/A,005-79005,SKYBRIDGE MULTI-ADVISER HEDGE FUND PORTFOLIOS LLC,https://www.sec.gov/Archives/edgar/data/1181848/000119312520000661/d860743dsctoia.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-000661__d860743dsctoia.htm,ok,,19562,3981,635,635,1.27,9269f42098dd7a46d921e4875a92822281b92bac,10,0.2315,0.7685,observed_sample
0001140361-20-000042,nt10007327x1_sctoia.htm,SC TO-I/A,005-88918,Gannett Media Corp.,https://www.sec.gov/Archives/edgar/data/1635718/000114036120000042/nt10007327x1_sctoia.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001140361-20-000042__nt10007327x1_sctoia.htm,ok,,31644,7022,1100,1100,2.2,e0ed6bdb9b30b8b901b32ff67533902ed1867deb,9,0.3682,0.6318,observed_sample
0001193125-20-000096,d862466dsctota.htm,SC TO-T/A,005-86024,Wright Medical Group N.V.,https://www.sec.gov/Archives/edgar/data/1492658/000119312520000096/d862466dsctota.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-000096__d862466dsctota.htm,ok,,34527,9781,1527,1527,3.05,04926c10967d115491ac783b2a9206ff38880aab,16,0.4912,0.5088,observed_sample
0001193125-20-000102,d832435dsc14d9a.htm,SC 14D9/A,005-86024,Wright Medical Group N.V.,https://www.sec.gov/Archives/edgar/data/1492658/000119312520000102/d832435dsc14d9a.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-000102__d832435dsc14d9a.htm,ok,,14583,4477,712,712,1.42,4301b901b1036bb5f68bc89e10ad2ca987bb305f,3,0.0688,0.9312,observed_sample
0001193125-20-000664,d860745dsctoia.htm,SC TO-I/A,005-88054,"Skybridge G II Fund, LLC",https://www.sec.gov/Archives/edgar/data/1520568/000119312520000664/d860745dsctoia.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-000664__d860745dsctoia.htm,ok,,18024,3844,630,630,1.26,449494a66a1dd1c37d3cfac4b7a165865000545c,10,0.2317,0.7683,observed_sample
0001398344-20-000048,fp0049012_sctoia.htm,SC TO-I/A,005-89919,Pomona Investment Fund,https://www.sec.gov/Archives/edgar/data/1616203/000139834420000048/fp0049012_sctoia.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001398344-20-000048__fp0049012_sctoia.htm,ok,,17531,4684,770,770,1.54,201d0cfb407628567e45fcfe5edcbc6a7a382b1f,2,0.2273,0.7727,observed_sample
0001104659-20-000326,tm201065-1_sc14d9a.htm,SC 14D9/A,005-48819,ARQULE INC,https://www.sec.gov/Archives/edgar/data/1019695/000110465920000326/tm201065-1_sc14d9a.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001104659-20-000326__tm201065-1_sc14d9a.htm,ok,,15694,5196,819,819,1.64,1d02d8f50c07eb696844015e5ae1fb7b884021d4,3,0.0733,0.9267,observed_sample
0001140361-20-000057,nc10007326x1_sctota.htm,SC TO-T/A,005-48819,ARQULE INC,https://www.sec.gov/Archives/edgar/data/1019695/000114036120000057/nc10007326x1_sctota.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001140361-20-000057__nc10007326x1_sctota.htm,ok,,23358,8088,1262,1262,2.52,c1e03c946e786963ce20288202677c3d31e64048,5,0.2235,0.7765,observed_sample
0001193125-20-000609,d858171dsctoi.htm,SC TO-I,005-84412,BLACKROCK CREDIT ALLOCATION INCOME TRUST,https://www.sec.gov/Archives/edgar/data/1379384/000119312520000609/d858171dsctoi.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-000609__d858171dsctoi.htm,ok,,54947,10576,1665,1665,3.33,11f9d36b865f25584b14011f330da113d4a6a372,46,0.4174,0.5826,observed_sample
0001193125-20-000622,d858167dsctoi.htm,SC TO-I,005-90961,BlackRock Multi-Sector Opportunities Trust,https://www.sec.gov/Archives/edgar/data/1715468/000119312520000622/d858167dsctoi.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-000622__d858167dsctoi.htm,ok,,54816,10315,1606,1606,3.21,23d3c80f26bb6a61554530b2b0419b78a57a137a,47,0.4402,0.5598,observed_sample
