corporate_action_type,field,coverage_pct,n_sample_events,relevance_assumption,evidence_type
business_combination_comms,notification_family,0.0,3,relevant,inferred_regex_presence
business_combination_comms,notification_type,0.0,3,relevant,inferred_regex_presence
business_combination_comms,notification_status,100.0,3,relevant,inferred_regex_presence
business_combination_comms,processing_status,0.0,3,relevant,internal_only
business_combination_comms,mandatory_voluntary_indicator,0.0,3,relevant,inferred_regex_presence
business_combination_comms,security_description,33.33,3,relevant,inferred_regex_presence
business_combination_comms,isin,0.0,3,relevant,inferred_regex_presence
business_combination_comms,cusip,0.0,3,relevant,inferred_regex_presence
business_combination_comms,ticker,0.0,3,relevant,inferred_regex_presence
business_combination_comms,currency,0.0,3,relevant,inferred_regex_presence
business_combination_comms,coupon_rate,33.33,3,relevant,inferred_regex_presence
business_combination_comms,maturity_date,33.33,3,relevant,inferred_regex_presence
business_combination_comms,corporate_action_type,100.0,3,relevant,observed_metadata
business_combination_comms,event_subtype,0.0,3,relevant,inferred_regex_presence
business_combination_comms,effective_date,0.0,3,relevant,inferred_regex_presence
business_combination_comms,record_date,0.0,3,relevant,inferred_regex_presence
business_combination_comms,ex_date,0.0,3,relevant,inferred_regex_presence
business_combination_comms,payment_date,33.33,3,relevant,inferred_regex_presence
business_combination_comms,settlement_date,0.0,3,relevant,inferred_regex_presence
business_combination_comms,old_security_description,0.0,3,relevant,inferred_regex_presence
business_combination_comms,old_security_isin,0.0,3,relevant,inferred_regex_presence
business_combination_comms,new_security_description,0.0,3,relevant,inferred_regex_presence
business_combination_comms,new_security_isin,0.0,3,relevant,inferred_regex_presence
business_combination_comms,conversion_ratio,33.33,3,relevant,inferred_regex_presence
business_combination_comms,conversion_price,0.0,3,relevant,inferred_regex_presence
business_combination_comms,redemption_amount,0.0,3,relevant,inferred_regex_presence
business_combination_comms,call_price,0.0,3,relevant,inferred_regex_presence
business_combination_comms,election_required,0.0,3,relevant,inferred_regex_presence
business_combination_comms,available_options,0.0,3,relevant,inferred_regex_presence
business_combination_comms,default_option,0.0,3,relevant,inferred_regex_presence
business_combination_comms,election_deadline,0.0,3,relevant,inferred_regex_presence
business_combination_comms,response_deadline,0.0,3,relevant,inferred_regex_presence
business_combination_comms,cancellation_reason,0.0,3,relevant,inferred_regex_presence
business_combination_comms,eligible_quantity,0.0,3,relevant,internal_only
business_combination_comms,position_quantity,0.0,3,relevant,internal_only
business_combination_comms,principal_amount,0.0,3,relevant,inferred_regex_presence
business_combination_comms,interest_amount,0.0,3,relevant,inferred_regex_presence
business_combination_comms,cash_amount,0.0,3,relevant,inferred_regex_presence
business_combination_comms,debit_credit_indicator,0.0,3,relevant,internal_only
current_report,notification_family,0.0,3,relevant,inferred_regex_presence
current_report,notification_type,0.0,3,relevant,inferred_regex_presence
current_report,notification_status,66.67,3,relevant,inferred_regex_presence
current_report,processing_status,0.0,3,relevant,internal_only
current_report,mandatory_voluntary_indicator,0.0,3,relevant,inferred_regex_presence
current_report,security_description,100.0,3,relevant,inferred_regex_presence
current_report,isin,0.0,3,relevant,inferred_regex_presence
current_report,cusip,0.0,3,relevant,inferred_regex_presence
current_report,ticker,66.67,3,relevant,inferred_regex_presence
current_report,currency,33.33,3,relevant,inferred_regex_presence
current_report,coupon_rate,33.33,3,relevant,inferred_regex_presence
current_report,maturity_date,33.33,3,relevant,inferred_regex_presence
current_report,corporate_action_type,100.0,3,relevant,observed_metadata
current_report,event_subtype,0.0,3,relevant,inferred_regex_presence
current_report,effective_date,0.0,3,relevant,inferred_regex_presence
current_report,record_date,0.0,3,relevant,inferred_regex_presence
current_report,ex_date,0.0,3,relevant,inferred_regex_presence
current_report,payment_date,0.0,3,relevant,inferred_regex_presence
current_report,settlement_date,0.0,3,relevant,inferred_regex_presence
current_report,old_security_description,0.0,3,relevant,inferred_regex_presence
current_report,old_security_isin,0.0,3,relevant,inferred_regex_presence
current_report,new_security_description,0.0,3,relevant,inferred_regex_presence
current_report,new_security_isin,0.0,3,relevant,inferred_regex_presence
current_report,conversion_ratio,0.0,3,relevant,inferred_regex_presence
current_report,conversion_price,66.67,3,relevant,inferred_regex_presence
current_report,redemption_amount,0.0,3,relevant,inferred_regex_presence
current_report,call_price,0.0,3,relevant,inferred_regex_presence
current_report,election_required,33.33,3,relevant,inferred_regex_presence
current_report,available_options,0.0,3,relevant,inferred_regex_presence
current_report,default_option,0.0,3,relevant,inferred_regex_presence
current_report,election_deadline,0.0,3,relevant,inferred_regex_presence
current_report,response_deadline,0.0,3,relevant,inferred_regex_presence
current_report,cancellation_reason,0.0,3,relevant,inferred_regex_presence
current_report,eligible_quantity,0.0,3,relevant,internal_only
current_report,position_quantity,0.0,3,relevant,internal_only
current_report,principal_amount,100.0,3,relevant,inferred_regex_presence
current_report,interest_amount,0.0,3,relevant,inferred_regex_presence
current_report,cash_amount,33.33,3,relevant,inferred_regex_presence
current_report,debit_credit_indicator,0.0,3,relevant,internal_only
going_private,notification_family,100.0,7,relevant,inferred_regex_presence
going_private,notification_type,0.0,7,relevant,inferred_regex_presence
going_private,notification_status,100.0,7,relevant,inferred_regex_presence
going_private,processing_status,0.0,7,relevant,internal_only
going_private,mandatory_voluntary_indicator,0.0,7,relevant,inferred_regex_presence
going_private,security_description,57.14,7,relevant,inferred_regex_presence
going_private,isin,0.0,7,relevant,inferred_regex_presence
going_private,cusip,100.0,7,relevant,inferred_regex_presence
going_private,ticker,28.57,7,relevant,inferred_regex_presence
going_private,currency,28.57,7,relevant,inferred_regex_presence
going_private,coupon_rate,14.29,7,relevant,inferred_regex_presence
going_private,maturity_date,14.29,7,relevant,inferred_regex_presence
going_private,corporate_action_type,100.0,7,relevant,observed_metadata
going_private,event_subtype,14.29,7,relevant,inferred_regex_presence
going_private,effective_date,0.0,7,relevant,inferred_regex_presence
going_private,record_date,57.14,7,relevant,inferred_regex_presence
going_private,ex_date,0.0,7,relevant,inferred_regex_presence
going_private,payment_date,14.29,7,relevant,inferred_regex_presence
going_private,settlement_date,71.43,7,relevant,inferred_regex_presence
going_private,old_security_description,0.0,7,relevant,inferred_regex_presence
going_private,old_security_isin,0.0,7,relevant,inferred_regex_presence
going_private,new_security_description,28.57,7,relevant,inferred_regex_presence
going_private,new_security_isin,0.0,7,relevant,inferred_regex_presence
going_private,conversion_ratio,57.14,7,relevant,inferred_regex_presence
going_private,conversion_price,0.0,7,relevant,inferred_regex_presence
going_private,redemption_amount,28.57,7,relevant,inferred_regex_presence
going_private,call_price,0.0,7,relevant,inferred_regex_presence
going_private,election_required,28.57,7,relevant,inferred_regex_presence
going_private,available_options,0.0,7,relevant,inferred_regex_presence
going_private,default_option,0.0,7,relevant,inferred_regex_presence
going_private,election_deadline,28.57,7,relevant,inferred_regex_presence
going_private,response_deadline,0.0,7,relevant,inferred_regex_presence
going_private,cancellation_reason,0.0,7,relevant,inferred_regex_presence
going_private,eligible_quantity,0.0,7,relevant,internal_only
going_private,position_quantity,0.0,7,relevant,internal_only
going_private,principal_amount,14.29,7,relevant,inferred_regex_presence
going_private,interest_amount,14.29,7,relevant,inferred_regex_presence
going_private,cash_amount,71.43,7,relevant,inferred_regex_presence
