event_id,n_documents,n_filings,n_amendment_filings,n_initial_filings,has_amendment,forms,form_families,primary_form_family,entity_names,primary_entity,ciks,primary_cik,tickers,first_file_date,last_file_date,event_span_days,n_exhibits,n_primary_docs
000-00147,2,1,0,1,False,['PREM14A'],['merger_proxy'],merger_proxy,['CRAWFORD UNITED Corp'],CRAWFORD UNITED Corp,['0000047307'],0000047307,['CRAWA'],2025-12-23,2025-12-23,0,1,1
000-01088,17,16,0,16,False,['8-K'],['current_report'],current_report,['KELLY SERVICES INC'],KELLY SERVICES INC,['0000055135'],0000055135,['KELYA' 'KELYB'],2020-02-13,2023-11-09,1365,17,0
000-01678,1,1,0,1,False,['8-K'],['current_report'],current_report,['BUTLER NATIONAL CORP'],BUTLER NATIONAL CORP,['0000015847'],0000015847,['BUKS'],2021-07-26,2021-07-26,0,1,0
000-02382,2,2,0,2,False,['DEFM14A' 'PREM14A'],['merger_proxy'],merger_proxy,['MTS SYSTEMS CORP'],MTS SYSTEMS CORP,['0000068709'],0000068709,[],2021-01-08,2021-01-28,20,0,2
000-03279,52,45,1,44,True,['425' '8-K/A' 'DEFM14A'],['business_combination_comms' 'merger_proxy' 'other'],mixed,['KIMBALL INTERNATIONAL INC'],KIMBALL INTERNATIONAL INC,['0000048287' '0000055772'],0000048287,[],2021-02-19,2023-05-31,831,9,43
000-03922,78,45,1,44,True,['8-K' '8-K/A'],['current_report' 'other'],mixed,['PATRICK INDUSTRIES INC'],PATRICK INDUSTRIES INC,['0000076605'],0000076605,['PATK'],2020-02-19,2025-10-30,2080,74,4
000-04065,1,1,0,1,False,['8-K'],['current_report'],current_report,['MARZETTI CO'],MARZETTI CO,['0000057515'],0000057515,['LANC'],2025-06-30,2025-06-30,0,1,0
000-05534,2,2,0,2,False,['DEFM14A' 'PREM14A'],['merger_proxy'],merger_proxy,['Protective Insurance Corp'],Protective Insurance Corp,['0000009346'],0000009346,[],2021-03-15,2021-03-26,11,0,2
000-05576,14,8,0,8,False,['8-K'],['current_report'],current_report,"['SPHERIX INC' 'Aikido Pharma Inc.' 'AIkido Pharma Inc.'
 'Dominari Holdings Inc.']",SPHERIX INC,['0000012239'],0000012239,['DOMH'],2020-03-10,2023-10-17,1316,12,2
000-05703,4,3,0,3,False,['8-K'],['current_report'],current_report,['SIEBERT FINANCIAL CORP'],SIEBERT FINANCIAL CORP,['0000065596'],0000065596,['SIEB'],2022-05-27,2025-06-27,1127,4,0
000-05734,10,7,0,7,False,['8-K'],['current_report'],current_report,['AGILYSYS INC'],AGILYSYS INC,['0000078749'],0000078749,['AGYS'],2020-05-11,2024-02-12,1372,7,3
000-06217,5,3,0,3,False,['8-K'],['current_report'],current_report,['INTEL CORP'],INTEL CORP,['0000050863'],0000050863,['INTC'],2021-01-14,2025-08-25,1684,3,2
000-06253,28,24,0,24,False,['425'],['business_combination_comms'],business_combination_comms,['SIMMONS FIRST NATIONAL CORP'],SIMMONS FIRST NATIONAL CORP,['0000090498'],0000090498,['SFNC'],2021-06-07,2021-08-12,66,4,24
000-06365,1,1,0,1,False,['8-K'],['current_report'],current_report,"['APOGEE ENTERPRISES, INC.']","APOGEE ENTERPRISES, INC.",['0000006845'],0000006845,['APOG'],2024-09-25,2024-09-25,0,1,0
000-06814,8,7,1,6,True,['8-K' '8-K/A'],['current_report' 'other'],mixed,['US ENERGY CORP'],US ENERGY CORP,['0000101594'],0000101594,['USEG'],2020-10-02,2025-10-09,1833,7,1
000-06920,1,1,0,1,False,['8-K'],['current_report'],current_report,['APPLIED MATERIALS INC /DE'],APPLIED MATERIALS INC /DE,['0000006951'],0000006951,['AMAT'],2024-06-11,2024-06-11,0,1,0
000-07087,17,8,0,8,False,['8-K'],['current_report'],current_report,['ASTRONICS CORP'],ASTRONICS CORP,['0000008063'],0000008063,['ATRO' 'ATROB'],2024-11-25,2025-11-04,344,12,5
000-07928,27,11,0,11,False,['8-K'],['current_report'],current_report,['COMTECH TELECOMMUNICATIONS CORP /DE/'],COMTECH TELECOMMUNICATIONS CORP /DE/,['0000023197'],0000023197,['CMTL'],2021-10-18,2025-03-04,1233,20,7
000-07977,3,3,0,3,False,['8-K'],['current_report'],current_report,['NORDSON CORP'],NORDSON CORP,['0000072331'],0000072331,['NDSN'],2023-09-13,2025-12-10,819,3,0
000-08092,19,10,0,10,False,['8-K'],['current_report'],current_report,"['GT Biopharma, Inc.']","GT Biopharma, Inc.",['0000109657'],0000109657,['GTBP'],2020-05-29,2021-02-02,249,12,7
000-08408,1,1,0,1,False,['8-K'],['current_report'],current_report,"['Woodward, Inc.']","Woodward, Inc.",['0000108312'],0000108312,['WWD'],2020-04-06,2020-04-06,0,1,0
000-08962,1,1,0,1,False,['8-K'],['current_report'],current_report,['KENILWORTH SYSTEMS CORP'],KENILWORTH SYSTEMS CORP,['0000055234'],0000055234,['KENS'],2023-10-05,2023-10-05,0,0,1
000-09047,3,3,0,3,False,['8-K'],['current_report'],current_report,['OMNIQ Corp.'],OMNIQ Corp.,['0000278165'],0000278165,['OMQS'],2020-08-11,2021-07-14,337,2,1
000-09587,3,3,0,3,False,['425'],['business_combination_comms'],business_combination_comms,['ELECTRO SENSORS INC'],ELECTRO SENSORS INC,['0000351789'],0000351789,['ELSE'],2022-06-13,2022-09-26,105,0,3
000-09908,2,2,0,2,False,['8-K'],['current_report'],current_report,"['TOMI Environmental Solutions, Inc.']","TOMI Environmental Solutions, Inc.",['0000314227'],0000314227,['TOMZ'],2020-05-18,2020-08-13,87,2,0
000-10093,2,2,0,2,False,['8-K'],['current_report'],current_report,"['Fuse Medical, Inc.']","Fuse Medical, Inc.",['0000319016'],0000319016,['FZMD'],2022-11-18,2023-04-18,151,2,0
000-10140,3,3,0,3,False,['425'],['business_combination_comms'],business_combination_comms,['CVB FINANCIAL CORP'],CVB FINANCIAL CORP,['0000354647'],0000354647,['CVBF'],2021-07-28,2025-12-23,1609,0,3
000-10210,2,1,0,1,False,['8-K'],['current_report'],current_report,"['GLOBAL TECH INDUSTRIES GROUP, INC.']","GLOBAL TECH INDUSTRIES GROUP, INC.",['0000356590'],0000356590,['GTII'],2020-11-30,2020-11-30,0,1,1
000-10248,1,1,0,1,False,['8-K'],['current_report'],current_report,['FONAR CORP'],FONAR CORP,['0000355019'],0000355019,['FONR'],2025-12-30,2025-12-30,0,1,0
000-10537,11,6,0,6,False,['425'],['business_combination_comms'],business_combination_comms,['OLD SECOND BANCORP INC'],OLD SECOND BANCORP INC,['0000357173'],0000357173,['OSBC'],2021-07-26,2025-02-26,1311,5,6
000-10546,2,2,0,2,False,['DEFM14A' 'PREM14A'],['merger_proxy'],merger_proxy,['LAWSON PRODUCTS INC/NEW/DE/'],LAWSON PRODUCTS INC/NEW/DE/,['0000703604'],0000703604,['DSGR'],2022-01-14,2022-02-10,27,0,2
000-10661,1,1,0,1,False,['425'],['business_combination_comms'],business_combination_comms,['TRICO BANCSHARES /'],TRICO BANCSHARES /,['0000356171'],0000356171,['TCBK'],2021-07-28,2021-07-28,0,0,1
000-10685,1,1,0,1,False,['8-K'],['current_report'],current_report,['MIDWEST HOLDING INC.'],MIDWEST HOLDING INC.,['0000355379'],0000355379,[],2020-04-24,2020-04-24,0,1,0
000-10961,23,23,0,23,False,['425' '8-K' 'DEFM14A'],['business_combination_comms' 'current_report' 'merger_proxy'],mixed,['QUIDEL CORP /DE/'],QUIDEL CORP /DE/,['0000353569' '0001828443'],0000353569,[],2020-01-10,2022-05-06,847,14,9
000-11104,2,2,0,2,False,['8-K'],['current_report'],current_report,['NOBLE ROMANS INC'],NOBLE ROMANS INC,['0000709005'],0000709005,['NROM'],2020-02-12,2023-08-09,1274,1,1
000-11155,6,3,0,3,False,['425'],['business_combination_comms'],business_combination_comms,['FIRST BANCSHARES OF TEXAS INC'],FIRST BANCSHARES OF TEXAS INC,['0000355380' '0001068851'],0000355380,[],2022-10-11,2023-02-17,129,3,3
000-11412,2,1,1,0,True,['8-K/A'],['other'],other,['AMTECH SYSTEMS INC'],AMTECH SYSTEMS INC,['0000720500'],0000720500,['ASYS'],2023-04-03,2023-04-03,0,2,0
000-11634,3,2,0,2,False,['DEFM14A' 'PREM14A'],['merger_proxy'],merger_proxy,['STAAR SURGICAL CO'],STAAR SURGICAL CO,['0000718937'],0000718937,['STAA'],2025-08-29,2025-09-16,18,1,2
000-11668,9,4,0,4,False,['8-K' 'DEFM14A' 'PREM14A'],['current_report' 'merger_proxy'],mixed,"['Inrad Optics, Inc.']","Inrad Optics, Inc.",['0000719494'],0000719494,[],2024-04-09,2024-07-02,84,5,4
000-11730,1,1,0,1,False,['8-K'],['current_report'],current_report,"['NewBridge Global Ventures, Inc.']","NewBridge Global Ventures, Inc.",['0000726293'],0000726293,[],2020-09-30,2020-09-30,0,1,0
000-11733,6,2,0,2,False,['425'],['business_combination_comms'],business_combination_comms,['CITY HOLDING CO'],CITY HOLDING CO,['0000726854'],0000726854,['CHCO'],2022-10-18,2023-03-13,146,4,2
000-11736,1,1,0,1,False,['8-K'],['current_report'],current_report,"['Ascena Retail Group, Inc.']","Ascena Retail Group, Inc.",['0001498301'],0001498301,[],2020-05-26,2020-05-26,0,1,0
000-11740,14,8,2,6,True,['8-K' '8-K/A'],['current_report' 'other'],mixed,['MESA LABORATORIES INC /CO' 'MESA LABORATORIES INC /CO/'],MESA LABORATORIES INC /CO,['0000724004'],0000724004,['MLAB'],2020-01-15,2025-08-18,2042,12,2
000-11774,1,1,0,1,False,['8-K'],['current_report'],current_report,['INVESTORS TITLE CO'],INVESTORS TITLE CO,['0000720858'],0000720858,['ITIC'],2022-10-03,2022-10-03,0,1,0
000-11882,1,1,0,1,False,['8-K'],['current_report'],current_report,"['B2Digital, Inc.']","B2Digital, Inc.",['0000725929'],0000725929,['BTDG'],2021-03-09,2021-03-09,0,0,1
000-11991,1,1,0,1,False,['PREM14A'],['merger_proxy'],merger_proxy,['SORL Auto Parts Inc'],SORL Auto Parts Inc,['0000714284'],0000714284,[],2020-01-02,2020-01-02,0,0,1
000-12104,3,3,0,3,False,['8-K'],['current_report'],current_report,['IMMUNOMEDICS INC'],IMMUNOMEDICS INC,['0000722830'],0000722830,[],2020-02-27,2020-08-05,160,3,0
000-12114,8,1,0,1,False,['8-K'],['current_report'],current_report,['CADIZ INC'],CADIZ INC,['0000727273'],0000727273,['CDZI' 'CDZIP'],2020-03-09,2020-03-09,0,7,1
000-12182,16,13,0,13,False,['8-K'],['current_report'],current_report,['CalAmp Corp.'],CalAmp Corp.,['0000730255'],0000730255,[],2020-03-30,2024-01-26,1397,14,2
000-12346,1,1,0,1,False,['8-K'],['current_report'],current_report,"['IRONSTONE PROPERTIES, INC.']","IRONSTONE PROPERTIES, INC.",['0000723269'],0000723269,[],2022-06-01,2022-06-01,0,0,1
000-12350,1,1,0,1,False,['8-K'],['current_report'],current_report,"['EVIO, INC.']","EVIO, INC.",['0000715788'],0000715788,[],2021-02-08,2021-02-08,0,0,1
000-12436,1,1,0,1,False,['425'],['business_combination_comms'],business_combination_comms,['COLONY BANKCORP INC'],COLONY BANKCORP INC,['0000711669'],0000711669,['CBAN'],2021-04-23,2021-04-23,0,0,1
000-12456,3,2,0,2,False,['DEFM14A' 'PREM14A'],['merger_proxy'],merger_proxy,"['LOGILITY SUPPLY CHAIN SOLUTIONS, INC']","LOGILITY SUPPLY CHAIN SOLUTIONS, INC",['0000713425'],0000713425,['LGTY'],2025-02-21,2025-03-04,11,1,2
000-12508,1,1,0,1,False,['8-K'],['current_report'],current_report,['S&T BANCORP INC'],S&T BANCORP INC,['0000719220'],0000719220,['STBA'],2024-12-04,2024-12-04,0,1,0
000-12627,12,6,0,6,False,['8-K'],['current_report'],current_report,"['Global Clean Energy Holdings, Inc.']","Global Clean Energy Holdings, Inc.",['0000748790'],0000748790,['GCEH'],2022-02-08,2023-07-11,518,12,0
000-12641,5,1,0,1,False,['8-K'],['current_report'],current_report,['DALRADA FINANCIAL CORP'],DALRADA FINANCIAL CORP,['0000725394'],0000725394,['DFCO'],2022-02-09,2022-02-09,0,4,1
000-12697,4,2,0,2,False,['8-K' 'PREM14A'],['current_report' 'merger_proxy'],mixed,['DYNATRONICS CORP'],DYNATRONICS CORP,['0000720875'],0000720875,['DYNT'],2020-10-16,2023-02-01,838,2,2
000-12820,2,2,0,2,False,['425' 'DEFM14A'],['business_combination_comms' 'merger_proxy'],mixed,['AMERICAN NATIONAL BANKSHARES INC.'],AMERICAN NATIONAL BANKSHARES INC.,['0000741516' '0000883948'],0000741516,[],2023-07-25,2023-09-29,66,0,2
000-12895,1,1,0,1,False,['8-K'],['current_report'],current_report,"['PETRO USA, INC.']","PETRO USA, INC.",['0000745543'],0000745543,['PBAJ'],2023-04-27,2023-04-27,0,0,1
000-12896,3,2,0,2,False,['DEFM14A' 'PREM14A'],['merger_proxy'],merger_proxy,['OLD POINT FINANCIAL CORP'],OLD POINT FINANCIAL CORP,['0000740971'],0000740971,['OPOF'],2025-05-16,2025-05-27,11,1,2
000-12919,14,13,0,13,False,['8-K'],['current_report'],current_report,"['RAVE RESTAURANT GROUP, INC.']","RAVE RESTAURANT GROUP, INC.",['0000718332'],0000718332,['RAVE'],2020-06-29,2023-09-21,1179,13,1
000-12933,20,15,0,15,False,['8-K'],['current_report'],current_report,['LAM RESEARCH CORP'],LAM RESEARCH CORP,['0000707549'],0000707549,['LRCX'],2020-01-29,2021-10-20,630,15,5
000-12957,8,2,0,2,False,['425'],['business_combination_comms'],business_combination_comms,"['ENZON PHARMACEUTICALS, INC.']","ENZON PHARMACEUTICALS, INC.",['0000727510'],0000727510,['ENZN'],2025-06-23,2025-10-24,123,6,2
000-13215,23,20,2,18,True,['8-K' '8-K/A'],['current_report' 'other'],mixed,"['CLOUDCOMMERCE, INC.' 'AiAdvertising, Inc.']","CLOUDCOMMERCE, INC.",['0000743758'],0000743758,['AIAD'],2020-01-24,2023-06-12,1235,7,16
000-13292,21,17,0,17,False,['425' 'DEFM14A'],['business_combination_comms' 'merger_proxy'],mixed,['MCGRATH RENTCORP'],MCGRATH RENTCORP,['0000752714' '0001647088'],0000752714,['MGRC'],2024-01-29,2024-07-12,165,4,17
000-13358,2,2,0,2,False,['8-K'],['current_report'],current_report,['CAPITAL CITY BANK GROUP INC'],CAPITAL CITY BANK GROUP INC,['0000726601'],0000726601,['CCBG'],2021-05-03,2024-10-22,1268,2,0
