field,group,public_coverage_pct,missingness_class,source_class,ground_truth_class,evidence_type
notification_family,notification_metadata,100.0,usually_present_in_public_sample,derived_from_public,weak_heuristic,inferred_regex_presence
notification_type,notification_metadata,73.68,sometimes_present_in_public_sample,derived_from_public,requires_manual_annotation,inferred_regex_presence
notification_status,notification_metadata,97.37,usually_present_in_public_sample,derived_from_public,weak_heuristic,inferred_regex_presence
processing_status,notification_metadata,0.0,internal_bny_only,bny_internal_only,cannot_evaluate_from_public,internal_only
mandatory_voluntary_indicator,notification_metadata,5.26,likely_relevant_but_rarely_detected,public_document_extractable,requires_manual_annotation,inferred_regex_presence
security_description,security,100.0,usually_present_in_public_sample,public_document_extractable,weak_heuristic,observed_metadata
isin,security,0.0,likely_relevant_but_rarely_detected,public_document_extractable,requires_manual_annotation,inferred_regex_presence
cusip,security,97.37,usually_present_in_public_sample,public_document_extractable,requires_manual_annotation,inferred_regex_presence
ticker,security,51.18,sometimes_present_in_public_sample,public_document_extractable,weak_heuristic,observed_metadata
currency,security,13.16,likely_relevant_but_rarely_detected,public_document_extractable,weak_heuristic,inferred_regex_presence
coupon_rate,security,2.63,optional_for_many_events_or_absent,public_document_extractable,requires_manual_annotation,inferred_regex_presence
maturity_date,security,0.0,optional_for_many_events_or_absent,public_document_extractable,requires_manual_annotation,inferred_regex_presence
corporate_action_type,event,100.0,usually_present_in_public_sample,derived_from_public,strong_automatic,observed_metadata
event_subtype,event,10.53,likely_relevant_but_rarely_detected,public_document_extractable,requires_manual_annotation,inferred_regex_presence
effective_date,event,18.42,likely_relevant_but_rarely_detected,public_document_extractable,requires_manual_annotation,inferred_regex_presence
record_date,event,18.42,optional_for_many_events_or_absent,public_document_extractable,requires_manual_annotation,inferred_regex_presence
ex_date,event,0.0,unclear_or_partially_public,unclear_requires_investigation,cannot_evaluate_from_public,inferred_regex_presence
payment_date,event,18.42,likely_relevant_but_rarely_detected,public_document_extractable,requires_manual_annotation,inferred_regex_presence
settlement_date,event,26.32,sometimes_present_in_public_sample,public_document_extractable,requires_manual_annotation,inferred_regex_presence
old_security_description,conversion_exchange,0.0,optional_for_many_events_or_absent,public_document_extractable,requires_manual_annotation,inferred_regex_presence
old_security_isin,conversion_exchange,0.0,optional_for_many_events_or_absent,public_document_extractable,requires_manual_annotation,inferred_regex_presence
new_security_description,conversion_exchange,26.32,sometimes_present_in_public_sample,public_document_extractable,requires_manual_annotation,inferred_regex_presence
new_security_isin,conversion_exchange,0.0,optional_for_many_events_or_absent,public_document_extractable,requires_manual_annotation,inferred_regex_presence
conversion_ratio,conversion_exchange,60.53,sometimes_present_in_public_sample,public_document_extractable,requires_manual_annotation,inferred_regex_presence
conversion_price,conversion_exchange,0.0,optional_for_many_events_or_absent,public_document_extractable,requires_manual_annotation,inferred_regex_presence
redemption_amount,conversion_exchange,5.26,optional_for_many_events_or_absent,public_document_extractable,requires_manual_annotation,inferred_regex_presence
call_price,conversion_exchange,2.63,optional_for_many_events_or_absent,public_document_extractable,requires_manual_annotation,inferred_regex_presence
election_required,election_response,23.68,sometimes_present_in_public_sample,derived_from_public,weak_heuristic,inferred_regex_presence
available_options,election_response,5.26,likely_relevant_but_rarely_detected,public_document_extractable,requires_manual_annotation,inferred_regex_presence
default_option,election_response,0.0,likely_relevant_but_rarely_detected,public_document_extractable,requires_manual_annotation,inferred_regex_presence
election_deadline,election_response,71.05,sometimes_present_in_public_sample,public_document_extractable,requires_manual_annotation,inferred_regex_presence
response_deadline,election_response,39.47,sometimes_present_in_public_sample,public_document_extractable,requires_manual_annotation,inferred_regex_presence
cancellation_reason,election_response,18.42,likely_relevant_but_rarely_detected,public_document_extractable,requires_manual_annotation,inferred_regex_presence
eligible_quantity,position_payment,0.0,internal_bny_only,bny_internal_only,cannot_evaluate_from_public,internal_only
position_quantity,position_payment,0.0,internal_bny_only,bny_internal_only,cannot_evaluate_from_public,internal_only
principal_amount,position_payment,10.53,unclear_or_partially_public,unclear_requires_investigation,cannot_evaluate_from_public,inferred_regex_presence
interest_amount,position_payment,2.63,unclear_or_partially_public,unclear_requires_investigation,cannot_evaluate_from_public,inferred_regex_presence
cash_amount,position_payment,73.68,unclear_or_partially_public,unclear_requires_investigation,cannot_evaluate_from_public,inferred_regex_presence
debit_credit_indicator,position_payment,0.0,internal_bny_only,bny_internal_only,cannot_evaluate_from_public,internal_only
